OBJECTID,CSA2010,aastud10,aastud11,aastud12,aastud13,aastud14,aastud15,aastud16,aastud17,aastud19,aastud20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,94.91953,93.9,92.97,93.36,93.54,93.27,92.45,91.903915,92.4063622370446,92.2451193058568,63770461.779541,38770.1655711966
2,Beechfield/Ten Hills/West Hills,95.39559,95.59,95.64,94.47,94.59,93.6,93.25,91.4469,90.5179282868526,91.0874897792314,47882527.711731,37524.9505333862
3,Belair-Edison,96.91592,97.01,96.67,96.13,96.71,96.29,95.52,94.775542,94.3079443079443,94.6855983772819,44950030.4730835,31307.3148434905
4,Brooklyn/Curtis Bay/Hawkins Point,58.92241,58.32,58.23,55.76,56.85,54.59,51.4,50.531237,49.0819525302283,45.1230228471001,176077742.748291,150987.70363871
5,Canton,19.57672,17.24,19.1,16.4,20.75,18.93,15.52,14.814815,13.7254901960784,12.7659574468085,15408538.2248535,23338.6119476392
6,Cedonia/Frankford,91.32556,88.5,86.26,86.91,88.49,89.55,89.91,90.10327,90.7236212942301,90.7210031347962,71541340.3060913,39962.5498346887
7,Cherry Hill,97.60508,97.85,96.87,96.38,95.67,95.79,95.39,94.069913,93.654990085922,93.963782696177,29144181.3517456,22305.3020666774
8,Chinquapin Park/Belvedere,93.2814,91.66,90.42,91.3,91.6,87.53,86.2,88.586957,89.3300248138957,87.8238341968912,21022590.1298218,21705.411630324
9,Claremont/Armistead,58.68028,57.36,56.25,57.39,54.91,56.12,56.29,55.107998,53.9577039274924,52.3837209302325,61243774.4198608,40104.4159801772
10,Clifton-Berea,98.23807,98.59,98.43,98.38,98.54,97.41,96.65,95.427286,94.9357520786092,93.4915773353751,23285233.9247437,24022.7646207856
11,Cross-Country/Cheswolde,74.43763,75.19,79.17,77.05,75.97,79.22,79.14,76.72209,75.3623188405797,76.9047619047619,38222018.3170166,26788.3018784185
12,Dickeyville/Franklintown,97.49553,97.76,96.72,97.19,96.75,97.76,97.66,94.749403,94.2857142857142,96.3144963144963,35719112.4146729,31637.8174238148
13,Dorchester/Ashburton,97.57282,97.35,97.14,97.2,97.44,97.3,96.61,96.471418,95.6427015250544,94.8275862068965,34118277.1813354,27136.0757115223
14,Downtown/Seton Hill,92.96296,92.16,89.11,86.67,83.95,77.2,75.88,81.481481,90,87.5576036866359,20736554.4071045,21565.8593945388
15,Edmondson Village,99.04519,98.97,99.07,98.94,98.84,98.28,97.72,97.407407,97.0873786407767,97.3817567567567,23563061.0440674,21504.5513578719
16,Fells Point,28.49741,16.21,15.06,22.22,24.6,22.74,23.8,27.848101,22.0472440944881,18.1818181818181,12620515.7177734,27670.1699158504
17,Forest Park/Walbrook,97.84173,97.75,97.91,97.7,97.67,97.29,96.93,96.107784,96.0963455149501,95.0806451612903,37200535.0299683,36886.899781185
18,Glen-Fallstaff,88.0916,87.55,86.29,83.28,83.14,80.6,78.73,76.859504,69.9588477366255,67.6880222841225,46995477.4777832,48549.0046179359
19,Greater Charles Village/Barclay,88.51626,84.76,83.16,84.22,83.84,82.53,81.44,78.873239,75.6795422031473,73.076923076923,27051213.4544067,26454.2692113378
20,Greater Govans,97.32499,97.48,97.01,96.49,96.89,96.31,96.16,96.315121,95.0354609929078,94.5983379501385,22698495.7175903,22982.1257150065
21,Greater Mondawmin,98.24356,98.49,98.19,98.57,98.11,98.12,98.32,98.857143,97.8600823045267,98.0257510729613,33663448.2787476,31136.7318903894
22,Greater Roland Park/Poplar Hill,19.10448,23.14,20.9,22.91,21.36,21.79,18.24,18.14059,17.4825174825174,18.2242990654205,56688145.180481,39862.7497953315
23,Greater Rosemont,98.71564,98.71,98.19,98.36,98.24,98.01,98.04,97.865014,97.878566203365,97.406116918312,42204384.5409546,32559.0762212062
24,Greenmount East,97.92388,98.56,98.44,97.95,98.59,97.59,97.23,95.739737,95.8333333333333,94.7976878612716,19072287.8237305,20797.473457859
25,Hamilton,86.39053,85.91,85.85,86.54,85.94,86.05,86.79,88.396756,87.2326636422553,86.4651773981603,45191100.5596313,27712.1110914795
26,Harbor East/Little Italy,93.65269,93.69,93.28,91.42,95.77,88.55,85.22,83.596598,82.02416918429,78.207381370826,10215859.0839233,18552.4075815481
27,Harford/Echodale,82.98368,84.54,84.29,84.39,84.65,84.79,84.2,84.826428,84.0253748558246,82.8277046365197,65360039.170166,40019.1854001864
28,Highlandtown,33.91137,28.21,25.81,25.19,20.85,16.11,14.53,13.119534,12.6315789473684,12.6137841352405,11684191.1188354,14976.1238513953
29,Howard Park/West Arlington,95.7012,96.54,96.18,96.01,96.51,96.74,96.09,96.46955,94.0371456500488,92.0731707317073,63262430.0731201,36034.4984469622
30,Inner Harbor/Federal Hill,48.4787,38.76,42.26,43.29,44.88,47.03,43.11,39.593909,39.6634615384615,37.29216152019,24995836.2617188,43415.0595477941
31,Lauraville,87.70883,84.3,83.71,84.5,85.93,85.7,85.95,85.151302,84.2186297151655,83.8235294117647,49665744.237793,34419.6765281197
32,Loch Raven,96.55325,97.28,97.3,97.34,97.09,96.93,96.46,95.894428,95.0674974039459,95.3624733475479,44147812.3265991,29314.3346718106
33,Madison/East End,95.7377,95.64,95.37,94.71,93.18,91.36,90.21,87.085392,86.509900990099,84.5956354300385,8897845.19110107,13120.1587193821
34,Medfield/Hampden/Woodberry/Remington,28.76254,28.27,29.92,26.28,24.42,24.31,23.09,23.898678,23.3065442020665,24.3478260869565,62441489.2410889,43152.6256992199
35,Midtown,82.24956,78.41,77.8,75.25,75.94,70.73,72.09,69.437653,66.3817663817663,67.8260869565217,23823949.9293213,25020.0969697781
36,Midway/Coldstream,98.49199,99.2,98.92,98.61,98.65,98,96.82,96.005416,95.8741258741258,95.6973293768546,17884471.2860718,22767.8274161691
37,Morrell Park/Violetville,22.35897,26.59,25.21,28,28.91,31.16,35.38,39.611872,42.2826086956521,44.6547884187082,67470845.9886475,44412.7451302931
38,Mount Washington/Coldspring,49.01961,53.92,50.34,47.12,47.06,48.41,44.56,43.927649,41.2060301507537,40.4522613065326,56943058.6503296,38539.7661484923
39,North Baltimore/Guilford/Homeland,46.61355,38.12,34.85,40.07,36.97,32.8,34.64,32.94702,35.8490566037735,36.695652173913,74923987.6934814,42904.2221443837
40,Northwood,96.1136,97.75,97.16,96.67,96.19,96.42,96.28,95.087266,95.4787234042553,95.5194805194805,52743271.7687378,38889.8945910241
41,Oldtown/Middle East,96.91531,97.45,96.73,96.65,96.44,95.86,94.26,93.092105,91.50521609538,91.8962722852512,24585968.2341919,23866.328178856
42,Orangeville/East Highlandtown,25.11333,27.14,25.73,22.24,21.15,18.9,16.02,15.887324,12.1781115879828,9.80290456431535,89894372.2116089,47825.8629265765
43,Patterson Park North & East,74.52201,70.34,66.7,63.39,61.07,57.34,52.5,50.409836,49.271137026239,41.7767988252569,14507643.2041626,21786.3746600731
44,Penn North/Reservoir Hill,97.6758,98.24,98.23,97.39,97.05,97.02,96.01,95.296331,94.7257383966244,94.6236559139785,41059796.6773682,29078.8384985474
45,Pimlico/Arlington/Hilltop,98.41418,97.77,97.86,97.61,97.69,97.11,97.06,96.912833,96.3804116394606,95.2635599694423,30400962.0045166,24725.9340693497
46,Poppleton/The Terraces/Hollins Market,95.86936,95.38,95.78,96.67,96.32,96.26,95.83,94.923259,94.8012232415902,94.7176684881602,9302012.99829102,12334.0275347364
47,Sandtown-Winchester/Harlem Park,98.30508,98.82,98.7,98.43,98.61,97.86,97.89,97.084548,95.9286112660345,95.4240390482001,23672092.8682861,20987.1433066415
48,South Baltimore,11.03896,7.35,8.89,8.18,7.03,7.14,8.4,8.4,8.72727272727272,10.5442176870748,46353935.4257813,68440.0258267645
49,Southeastern,53.95514,52.31,50.94,48.81,48.18,47.33,44.03,36.491935,33.4622823984526,28.7722586691658,111251478.473083,102291.480547452
50,Southern Park Heights,97.83439,98.5,97.91,97.27,96.72,96.72,96.15,96.356275,95.0721153846153,94.5205479452054,27876227.5906372,24052.2213722085
51,Southwest Baltimore,86.1097,84.97,85.06,84.36,84.42,84.1,83.85,82.829828,82.5706940874036,80.4666304937601,37766068.8372192,28355.5635813649
52,The Waverlies,95.09202,93.08,93.6,92.83,92.31,92.12,90.4,87.932844,85.9392575928009,84.5588235294117,20383750.5436401,18733.8268797396
53,Upton/Druid Heights,98.3463,98.17,98.35,97.812649,98,97.721107,97.736057,97.335812,97.7287909151636,97.7483443708609,16976622.3384399,19389.3078211947
54,Washington Village/Pigtown,75.6927,76.61,77.02,77.831325,76.16,78.070175,77.575758,71.841155,74.1347905282331,75.2327746741154,39343262.0385132,36962.2600947345
55,Westport/Mount Winans/Lakeland,82.36624,77.38,74.7288,73.62776,72.69,69.316597,64.974982,60.408781,53.4604519774011,49.8976109215017,45494092.9492188,42573.1244161893
