OBJECTID,CSA2010,overd18,overd19,CSA2020,overd20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,3.6381574890547,5.42640439045446,Allendale/Irvington/S. Hilton,7.14863771243593,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,2.03848662752772,3.91389432485323,Beechfield/Ten Hills/West Hills,2.23454440122486,47882527.7110596,37524.9505334171
3,Belair-Edison,3.15801561782269,2.98576022048691,Belair-Edison,3.51342393105734,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,14.6036649582251,14.2526153198062,Brooklyn/Curtis Bay/Hawkins Point,12.3896431486015,176077742.748718,150987.703638771
5,Canton,1.23456790123457,2.46913580246914,Canton,1.69923534409516,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,2.41966294519676,2.29231226387061,Cedonia/Frankford,3.07281229124916,71541340.3063965,39962.5498347166
7,Cherry Hill,5.36454523287003,6.58376005852231,Cherry Hill,5.73639274279616,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,3.6101083032491,2.57864878803507,Chinquapin Park/Belvedere,4.01717689430669,21022590.1307373,21705.411630344
9,Claremont/Armistead,4.25221722755437,4.98116875227797,Orchard Ridge/Armistead,3.86142983230362,61243774.4211426,40104.415980189
10,Clifton-Berea,10.7352643305651,15.393963945716,Clifton-Berea,18.4769697769566,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,1.22755869264999,0.306889673162498,Cross-Country/Cheswolde,0.454098236585181,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,0.975371860521824,2.1945866861741,Dickeyville/Franklintown,3.54030501089325,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,5.51501781774987,8.90887493636518,Dorchester/Ashburton,5.55502346518533,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,40.1799565622091,56.9345330437481,Downtown/Seton Hill,28.3657917019475,20736554.4064941,21565.859394559
15,Edmondson Village,3.79746835443038,3.0379746835443,Edmondson Village,3.66558578880587,23563061.0443115,21504.551357829
16,Fells Point,2.98705609027547,4.31463657484235,Fells Point,2.91408159428464,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,4.36592547466748,4.5689917758148,Forest Park/Walbrook,4.13749204328453,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,5.02883196996111,6.57100710741585,Glen-Fallstaff,6.69103952541905,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,7.13806357147215,9.70044536635959,Greater Charles Village/Barclay,8.14447592067989,27051213.4559937,26454.2692113332
20,Greater Govans,3.55771931467091,4.21308866211029,Greater Govans,4.27394975502971,22698495.7178955,22982.125714974
21,Greater Mondawmin,13.4091396695988,20.0600729457198,Greater Mondawmin,15.7443852743691,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,0.542225837061136,0.948895214856988,Greater Roland Park/Poplar Hill,0.686530275985171,56688145.1790161,39862.7497953117
23,Greater Rosemont,10.8520691624695,12.8251726465549,Greater Rosemont,16.0275514934764,42204384.5406494,32559.0762211492
24,Greenmount East,12.7077223851417,12.2189638318671,Oliver/Johnson Square,16.6786484543494,19072287.8240967,20797.4734578598
25,Hamilton,1.9996923550223,2.92262728810952,Hamilton,2.01759341457509,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,15.7203624930645,19.604216756057,Harbor East/Little Italy,16.9086930574896,10215859.0836182,18552.4075815937
27,Harford/Echodale,2.25666607280717,2.49420986994477,Hamilton Hills,2.31003039513678,65360039.1698608,40019.1854001996
28,Highlandtown,5.10344827586207,4.96551724137931,Highlandtown,3.6281179138322,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,3.21898280143475,5.70219810539869,Howard Park/West Arlington,4.68783294268059,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,3.50058343057176,5.9120964605212,Inner Harbor/Federal Hill,3.70272414705104,24995836.2615967,43415.0595478862
31,Lauraville,2.28143078301964,2.03699177055325,Greater Lauraville,1.50123631225715,49665744.2354736,34419.676527973
32,Loch Raven,0.653125204101626,2.0900006531252,Loch Raven,1.48294611962432,44147812.3265381,29314.3346718286
33,Madison/East End,14.5225549415242,15.55070042411,Madison/East End,18.8741178401444,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,4.02576489533011,3.85323211410168,Hampden/Remington,2.76320983477133,62441489.2398071,43152.625699222
35,Midtown,6.72436750998668,10.5193075898802,Midtown,7.36885197964793,23823949.9294434,25020.0969698082
36,Midway/Coldstream,6.75394846217789,12.3649210307564,Midway/Coldstream,12.9852563235493,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,17.0682730923695,13.4984381972334,Morrell Park/Violetville,12.1537922168984,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,1.54798761609907,1.93498452012384,Mount Washington/Coldspring,2.76338514680484,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,1.43151626202474,1.77508016491067,North Baltimore/Guilford/Homeland,1.47509361170997,74923987.6937256,42904.2221443544
40,Northwood,1.26179174427687,1.20170642312083,Northwood,2.33950319961467,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,16.6650034926654,21.0557828560024,Oldtown/Middle East,15.086422220002,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,11.3897711094075,11.4992881393057,Greektown/Bayview,9.73743696748392,89894372.2113037,47825.8629266244
43,Patterson Park North & East,6.52965839576603,6.87332462712214,Patterson Park North & East,5.79608938547486,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,16.8597434836574,24.1001241208109,Penn North/Reservoir Hill,27.1308225966303,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,9.47867298578199,17.1800947867299,Pimlico/Arlington/Hilltop,15.891638225256,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,21.6279984270547,19.6618167518679,Poppleton/The Terraces/Hollins Market,16.0744500846024,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,25.2416756176155,24.5703544575725,Sandtown-Winchester/Harlem Park,27.1579147279461,23672092.8682861,20987.1433066354
48,South Baltimore,1.24882922260381,1.09272556977833,South Baltimore,1.46198830409357,46353935.4255981,68440.02582664
49,Southeastern,13.258785942492,15.814696485623,Southeastern,10.9273479031305,111251478.472229,102291.480547698
50,Southern Park Heights,4.74254742547425,8.43119542306534,Southern Park Heights,8.25515947467167,27876227.5908203,24052.221372193
51,Southwest Baltimore,22.4210232038021,26.614481409002,Southwest Baltimore,33.1336719993934,37766068.8365479,28355.563581391
52,The Waverlies,2.32168192957565,3.3535405649426,The Waverlies,4.0570789031897,20383750.5437012,18733.826879757
53,Upton/Druid Heights,28.9112357377683,35.8731386578998,Upton/Druid Heights,41.7227456258412,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,20.3525349809195,20.5342540432491,Pigtown/Carroll Park,24.4748506455965,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,3.93313667649951,5.89970501474926,Westport/Mount Winans/Lakeland,4.97795477172522,45494092.9501953,42573.1244161851
